"学校名","别名"
梁赞国立医科大学,"梁赞国立医科大学,Ryazan State Medical University,Рязанский государственный медицинский университет имени академика И.П. Павлова"
沃罗涅日国立技术大学,"沃罗涅日国立技术大学,Voronezh State Technical University,Воронежский государственный технический университет"
罗斯托夫国立经济大学,"罗斯托夫国立经济大学,Rostov State University of Economics,Ростовский государственный экономический университет (РИНХ)"
莫斯科国立语言大学,"莫斯科国立语言大学,Moscow State Linguistic University,Московский государственный лингвистический университет"
莫斯科理工大学,"莫斯科理工大学,Moscow Polytechnic University,Московский политехнический университет"
萨拉托夫国立医科大学,"萨拉托夫国立医科大学,Saratov State Medical University,Саратовский государственный медицинский университет имени В.И. Разумовского"
萨马拉国立技术大学,"萨马拉国立技术大学,Samara State Technical University,Самарский государственный технический университет"
西伯利亚国立工业大学,"西伯利亚国立工业大学,Siberian State Industrial University,Сибирский государственный индустриальный университет"
西伯利亚联邦大学,"西伯利亚联邦大学,Siberian Federal University,Siberian Federal University, SibFU,Сибирский федеральный университет"
鄂木斯克国立技术大学,"鄂木斯克国立技术大学,Omsk State Technical University,Омский государственный технический университет"
中欧大学,"中欧大学,Central European University,Közép-európai Egyetem"
佩奇大学,"佩奇大学,University of Pecs"
佩斯大学,"佩斯大学,Corvinus University of Budapest,Pace University"
塞格德大学,"塞格德大学,University of Szeged"
德布勒森大学,"德布勒森大学,University of Debrecen"
欧布达大学,"欧布达大学,Óbuda University,Óbudai Egyetem"
乌兹别克斯坦国立大学,"乌兹别克斯坦国立大学,National University of Uzbekistan named after Mirzo Ulugbek"
塔什干国立法律大学,"塔什干国立法律大学,Tashkent State University of Law"
塔什干国立经济大学,"塔什干国立经济大学,Tashkent State University of Economics"
塔什干都灵理工大学,"塔什干都灵理工大学,Turin Polytechnic University in Tashkent"
亚的斯亚贝巴大学,"亚的斯亚贝巴大学,Addis Ababa University"
埃里温国立大学,"埃里温国立大学,Yerevan State University"
第比利斯国立大学,"第比利斯国立大学,Ivane Javakhishvili Tbilisi State University"
伊巴丹大学,"伊巴丹大学,University of Ibadan"
伊洛林大学,"伊洛林大学,University of Ilorin"
尼日利亚大学,"尼日利亚大学,University of Nigeria Nsukka,University of Nigeria"
拉各斯州立大学,"拉各斯州立大学,Lagos State University"
科文纳特大学,"科文纳特大学,Covenant University"
佩拉德尼亚大学,"佩拉德尼亚大学,University of Peradeniya"
科伦坡大学,"科伦坡大学,University of Colombo"
哈希姆大学,"哈希姆大学,The Hashemite University,Hashemite University"
穆塔大学,"穆塔大学,Mutah University,Mu‘tah University"
约旦大学,"约旦大学,The University of Jordan,University of Jordan"
约旦科技大学,"约旦科技大学,Jordan University of Science & Technology,Jordan University of Science and Technology"
俄罗斯联邦政府财经大学,"俄罗斯联邦政府财经大学,Financial University under the Government of the Russian Federation,Финансовый университет при правительстве Российской Федерации"
俄罗斯门捷列夫化工大学,"俄罗斯门捷列夫化工大学,Mendeleev University of Chemical Technology,Российский химико-технологический университет имени Д.И. Менделеева"
阿尔泰国立大学,"阿尔泰国立大学,Altai State University,Алтайский государственный университет"
克拉古耶瓦茨大学,"克拉古耶瓦茨大学,University of Kragujevac,Университет у Крагуjевцу"
尼什大学,"尼什大学,University of Niš"
诺维萨德大学,"诺维萨德大学,University of Novi Sad"
内罗毕大学,"内罗毕大学,University of Nairobi"
肯雅塔大学,"肯雅塔大学,Kenyatta University,Kanyatta University"
冰岛大学,"冰岛大学,University of Iceland,Háskóli Íslands,冰岛语:Háskóli Íslands"
雷克雅未克大学,"雷克雅未克大学,Reykjavík University,Háskólinn í Reykjavík"
加德满都大学,"加德满都大学,Kathmandu University"
特里布万大学,"特里布万大学,Tribhuvan University"
北苏门答腊大学,"北苏门答腊大学,Universitas Sumatera Utara"
巴查查兰大学,"巴查查兰大学,Universitas Padjadjaran"
达拉斯大学,"达拉斯大学,Universitas Andalas,University of Dallas,The University of Dallas"
加纳大学,"加纳大学,University of Ghana"
海岸角大学,"海岸角大学,University of Cape Coast"
达卡大学,"达卡大学,University of Dhaka"
博茨瓦纳大学,"博茨瓦纳大学,University of Botswana"
卢布尔雅那大学,"卢布尔雅那大学,University of Ljubljana"
新戈里察大学,"新戈里察大学,University of Nova Gorica"
马里博尔大学,"马里博尔大学,University of Maribor"
卢森堡大学,"卢森堡大学,University of Luxembourg,The University of Luxembourg,Université du Luxembourg"
阿塞拜疆国立经济大学,"阿塞拜疆国立经济大学,Azerbaijan State University of Economics"
哈里发大学,"哈里发大学,Khalifa University"
沙迦大学,"沙迦大学,University of Sharjah"
迪拜加拿大大学,"迪拜加拿大大学,Canadian University Dubai"
迪拜美国大学,"迪拜美国大学,American University in Dubai,The American University in Dubai"
哥斯达黎加大学,"哥斯达黎加大学,Universidad de Costa Rica"
喀土穆大学,"喀土穆大学,University of Khartoum"
苏丹科技大学,"苏丹科技大学,Sudan University of Science and Technology"
大马士革大学,"大马士革大学,Damascus University"
科希策技术大学,"科希策技术大学,Technical University of Košice,Technická Univerzita v Košiciach"
马杰伊·贝尔大学,"马杰伊·贝尔大学,Matej Bel University,Univerzita Mateja Bela v Banskej Bystrici"
委内瑞拉中央大学,"委内瑞拉中央大学,Universidad Central de Venezuela,UCV"
阿拉伯美国大学,"阿拉伯美国大学,Arab American University"
巴拿马大学,"巴拿马大学,Universidad de Panamá - UP,UTP,Universidad de Panamá"
拉脱维亚大学,"拉脱维亚大学,University of Latvia"
里加斯特拉迪什大学,"里加斯特拉迪什大学,Riga Stradiņš University,Rīgas Stradiņa universitāte"
斯普利特大学,"斯普利特大学,University of Split"
萨格勒布大学,"萨格勒布大学,University of Zagreb"
斯法克斯大学,"斯法克斯大学,University of Sfax"
苏斯大学,"苏斯大学,University of Sousse,Université de Sousse"
迦太基大学,"迦太基大学,University of Carthage,Université de Carthage"
索菲亚大学,"索菲亚大学,Sofia University"
索非亚技术大学,"索非亚技术大学,Technical University of Sofia"
科威特大学,"科威特大学,Kuwait University"
纳米比亚大学,"纳米比亚大学,University of Namibia"
蒙古国立大学,"蒙古国立大学,National University of Mongolia,The National University of Mongolia"
达累斯萨拉姆大学,"达累斯萨拉姆大学,University of Dar es Salaam"
马耳他大学,"马耳他大学,University of Malta"
麦克雷雷大学,"麦克雷雷大学,Makerere University"
黑山大学,"黑山大学,University of Montenegro"
阿联酋大学,"阿联酋大学,United Arab Emirates University"
沙迦美国大学,"沙迦美国大学,American University of Sharjah"
亚历山大大学,"亚历山大大学,Alexandria University,埃及亚历山大大学,جامعةالإسكندرية"
十月六日大学,"十月六日大学,October 6 University"
坦塔大学,"坦塔大学,Tanta University"
埃及日本科技大学,"埃及日本科技大学,Egypt-Japan University of Science and Technology (E-JUST)"
开罗大学,"开罗大学,Cairo University"
曼苏拉大学,"曼苏拉大学,Mansoura University"
本哈大学,"本哈大学,Benha University"
法尤姆大学,"法尤姆大学,Fayoum University,Fayuom University"
米尼亚大学,"米尼亚大学,Minia University"
艾因夏姆斯大学,"艾因夏姆斯大学,Ain Shams University"
苏伊士大学,"苏伊士大学,Suez University,Sues University"
苏伊士运河大学,"苏伊士运河大学,Suez Canal University"
开罗美国大学,"开罗美国大学,The American University in Cairo"
塔林大学,"塔林大学,Tallinn University,TLU"
塔林理工大学,"塔林理工大学,Tallinn University of Technology"
爱沙尼亚生命科学大学,"爱沙尼亚生命科学大学,Estonian University of Life Sciences"
爱沙尼亚艺术学院,"爱沙尼亚艺术学院,Estonian Academy of Arts,Eesti Kunstiakadeemia"
塔尔图大学,"塔尔图大学,University of Tartu"
拉合尔管理科学大学,"拉合尔管理科学大学,Lahore University of Management Sciences,Lahore University of Management Sciences,LUMS"
内德工程技术大学,"内德工程技术大学,NED University of Engineering and Technology"
卡拉奇大学,"卡拉奇大学,University of Karachi"
巴利亚大学,"巴利亚大学,Bahria University"
巴哈瓦尔布尔伊斯兰大学,"巴哈瓦尔布尔伊斯兰大学,The Islamia University of Bahawalpur"
巴基斯坦工程与应用科学学院,"巴基斯坦工程与应用科学学院,Pakistan Institute of Engineering and Applied Sciences (PIEAS),Pakistan Institute of Engineering and Applied Sciences"
戈马尔大学,"戈马尔大学,Gomal University"
拉合尔大学,"拉合尔大学,The University of Lahore"
拉合尔教育大学,"拉合尔教育大学,University of Education,Lahore,University of Education, Lahore"
旁遮普大学,"旁遮普大学,University of the Punjab"
白沙瓦大学,"白沙瓦大学,University of Peshawar"
费萨拉巴德农业大学,"费萨拉巴德农业大学,University of Agriculture,Faisalabad,University of Agriculture, Faisalabad,University of Agriculture Faisalabad"
维捷布斯克国立医科大学,"维捷布斯克国立医科大学,Vitebsk State Medical University,Витебский государственный ордена дружбы народов медицинский университет"
白俄罗斯国立大学,"白俄罗斯国立大学,Belarusian State University,белорусский государственный университет"
华沙生命科学大学,"华沙生命科学大学,Warsaw University of Life Sciences – SGGW,Szkola glowna gospodarstwa wiejskiego w Warszawie"
居里夫人大学,"居里夫人大学,Maria Curie-Skłodowska University (UMCS),Maria Curie- Sklodowska University in Lublin,Uniwersytet Marii Curie-Skłodowskiej w Lublinie"
弗罗茨瓦夫大学,"弗罗茨瓦夫大学,University of Wroclaw,Uniwersytet Wrocławski"
弗罗茨瓦夫环境与生命科学大学,"弗罗茨瓦夫环境与生命科学大学,Wrocław University of Environmental and Life Sciences,Wroclaw University of Environmental and Life Sciences,Uniwersytet Przyrodniczy we Wrocławiu"
格但斯克大学,"格但斯克大学,UNIVERSITY OF GDANSK,Uniwersytet Gdański"
格但斯克工业大学,"格但斯克工业大学,Gdańsk University of Technology,Politechnika Gdańska"
波兹南工业大学,"波兹南工业大学,Poznań University of Technology,Politechnika Poznańska"
罗兹大学,"罗兹大学,University of Lodz,Uniwersytet Łódzki"
罗兹工业大学,"罗兹工业大学,Lodz University of Technology,Politechnika Ł&#243;dzka"
雅盖隆大学,"雅盖隆大学,Jagiellonian University,Uniwersytet Jagielloński w Krakowie"
华沙大学,"华沙大学,University of Warsaw,Uniwersytet Warszawski"
德拉萨大学,"德拉萨大学,De La Salle University,菲律宾德拉萨大学"
EAFIT大学,"EAFIT大学,EAFIT University,AU,美国大学,American University,Universidad EAFIT"
拉塞尔大学,"拉塞尔大学,La Salle University,Lasell University"
拉萨尔大学,"拉萨尔大学,Universidad de La Salle"
桑坦德工业大学,"桑坦德工业大学,Universidad Industrial de Santander (UIS),Universidad Industrial de Santander - UIS,Universidad Industrial de Santander"
科尔多瓦大学,"科尔多瓦大学,Universidad de Córdoba,University of Córdoba"
麦德林大学,"麦德林大学,Universidad de Medellín"
哥伦比亚国立大学,"哥伦比亚国立大学,Universidad Nacional de Colombia"
哈瓦那大学,"哈瓦那大学,Universidad de La Habana"
哈萨克农业技术大学,"哈萨克农业技术大学,Saken Seifullin Kazakh Agrotechnical University,Казахский агротехнический университет имени С. Сейфуллина"
南哈萨克斯坦大学,"南哈萨克斯坦大学,Auezov South Kazakhstan University (SKU),Южно-Казахстанский университет имени М.Ауэзова"
哈萨克国立师范大学,"哈萨克国立师范大学,Abai Kazakh National Pedagogical University,Казахский национальный педагогический университет им. Абая"
国立哈萨克大学,"国立哈萨克大学,Al-Farabi Kazakh National University"
欧亚国立大学,"欧亚国立大学,L.N. Gumilyov Eurasian National University（ENU）,Евразийский национальный университет им. Л. Н. Гумилева"
卡塔尔大学,"卡塔尔大学,Qatar University"
圣母大学,"圣母大学,Notre Dame University Louaize,Notre Dame,诺特丹大学,美国圣母大学,University of Notre Dame"
圣约瑟夫大学,"圣约瑟夫大学,Université Saint-Joseph de Beyrouth,Saint Joseph's University"
黎巴嫩大学,"黎巴嫩大学,Lebanese University,Lebanon College"
黎巴嫩美国大学,"黎巴嫩美国大学,Lebanese American University"
贝鲁特美国大学,"贝鲁特美国大学,American University of Beirut（AUB）,AUB,American University of Beirut"
立陶宛健康科学大学,"立陶宛健康科学大学,Lithuanian University of Health Sciences"
考纳斯工业大学,"考纳斯工业大学,Kaunas University of Technology"
维尔纽斯大学,"维尔纽斯大学,Vilnius University,Vilniaus Universitetas"
利马大学,"利马大学,Universidad de Lima"
太平洋大学,"太平洋大学,Universidad del Pacífico,美国太平洋大学,University of the Pacific"
秘鲁天主教大学,"秘鲁天主教大学,Pontificia Universidad Católica del Perú"
米尼奥大学,"米尼奥大学,University of Minho,Universidade do Minho"
里斯本大学学院,"里斯本大学学院,ISCTE-University Institute of Lisbon,University of Lisbon,ISCTE - Instituto Universitário de Lisboa"
阿威罗大学,"阿威罗大学,University of Aveiro,Universidade de Aveiro"
里斯本大学,"里斯本大学,University of Lisbon,Universidade de Lisboa"
波尔图大学,"波尔图大学,University of Porto,Universidade do Porto"
科英布拉大学,"科英布拉大学,University of Coimbra,Universidade de Coimbra"
尼科西亚大学,"尼科西亚大学,University of Nicosia"
塞浦路斯大学,"塞浦路斯大学,University of Cyprus"
呵叻皇家大学,"呵叻皇家大学,Nakhon Ratchasima Rajabhat University"
孔敬大学,"孔敬大学,Khon Kaen University"
宋卡王子大学,"宋卡王子大学,Prince of Songkla University"
拉卡邦先皇技术学院,"拉卡邦先皇技术学院,King Mongkut’s Institute of Technology Ladkrabang,King Mongkut‘s Institute of Technology Ladkrabang"
泰国商会大学,"泰国商会大学,University of the Thai Chamber of Commerce,The University of the Thai Chamber of Commerce"
清迈大学,"清迈大学,Chiang Mai University"
玛哈沙拉坎大学,"玛哈沙拉坎大学,Mahasarakham University"
玛希隆大学,"玛希隆大学,Mahidol University,玛希敦大学"
诗纳卡琳威洛大学,"诗纳卡琳威洛大学,Srinakharinwirot University"
朱拉隆功大学,"朱拉隆功大学,Chulalongkorn University"
乌日戈罗德国立大学,"乌日戈罗德国立大学,Uzhhorod National University,State University ""Uzhhorod National University"""
伊万诺-弗兰科夫斯克国立石油天然气技术大学,"伊万诺-弗兰科夫斯克国立石油天然气技术大学,Ivano Frankivsk National Technical University of Oil and Gas,Ivano-Frankivsk National Technical University of Oil and Gas"
利沃夫国立大学,"利沃夫国立大学,Ivan Franko National University of Lviv"
哈尔科夫国立无线电电子大学,"哈尔科夫国立无线电电子大学,Kharkiv National University of Radio Electronics"
基辅国立大学,"基辅国立大学,Taras Shevchenko National University of Kyiv,舍甫琴科大学 基辅塔拉斯·舍甫琴科国立大学 基辅国立大学KHU  基辅大学,Київський національний університет імені Тараса Шевченка /Taras Shevchenko National University of Kyiv"
基辅国立经济大学,"基辅国立经济大学,Kyiv National Economic University,Kyiv National Economic University named after Vadym Hetman"
沃伦国立大学,"沃伦国立大学,Lesya Ukrainka Eastern European National University,Lesya Ukrainka Volyn National University"
西乌克兰国立大学,"西乌克兰国立大学,West Ukrainian National University"
哈尔科夫国立大学,"哈尔科夫国立大学,V. N. Karazin Kharkiv National University,V.N.Karazin Kharkiv National University"
乌拉圭奥特大学,"乌拉圭奥特大学,Universidad ORT Uruguay"
蒙得维的亚大学,"蒙得维的亚大学,Universidad de Montevideo（UM）,Universidad de Montevideo"
克里特大学,"克里特大学,University of Crete"
塞萨利大学,"塞萨利大学,University of Thessaly"
帕特雷大学,"帕特雷大学,University of Patras"
约阿尼纳大学,"约阿尼纳大学,University of Ioannina"
雅典大学,"雅典大学,National and Kapodistrian University of Athens"
雅典国立技术大学,"雅典国立技术大学,National Technical University of Athens"
泗水大学,"泗水大学,Universitas Negeri Surabaya,University of Surabaya"
泗水理工学院,"泗水理工学院,Institut Teknologi Sepuluh Nopember"
印度尼西亚大学,"印度尼西亚大学,Universitas Indonesia"
中佛罗里达大学,"中佛罗里达大学,University of Central Florida,UCF"
丹佛大学,"丹佛大学,University of Denver"
乔治梅森大学,"乔治梅森大学,George Mason University,美国乔治梅森大学,乔治·梅森大学,Mason"
伊利诺伊大学厄本那-香槟分校,"伊利诺伊大学厄本那-香槟分校,University of Illinois at Urbana-Champaign,UIUC,伊利诺伊大学香槟分校,伊利诺伊大学厄巴纳-香槟分校"
伍斯特理工学院,"伍斯特理工学院,Worcester Polytechnic Institute,美国伍斯特理工学院,伍斯特理工,WPI,伍斯特理工大学,Polytechnic Institute"
佐治亚大学,"佐治亚大学,The University of Georgia,美国佐治亚大学,美国乔治亚大学,UGA,University of Georgia"
佐治亚州立大学,"佐治亚州立大学,Georgia State University"
佛罗里达农工大学,"佛罗里达农工大学,Florida Agricultural and Mechanical University"
佛罗里达国际大学,"佛罗里达国际大学,Florida International University,FIU,美国佛罗里达国际大学"
佛罗里达大西洋大学,"佛罗里达大西洋大学,Florida Atlantic University"
佛罗里达理工学院,"佛罗里达理工学院,Florida Institute of Technology,佛罗里达科技大学,Florida Tech,FIT,美国佛罗里达理工学院"
佛蒙特大学,"佛蒙特大学,University of Vermont,UVM,The University of Vermont"
俄亥俄大学,"俄亥俄大学,Ohio University,美国俄亥俄大学,The Ohio University"
俄克拉荷马大学,"俄克拉荷马大学,University of Oklahoma,俄克拉何马大学,The University of Oklahoma"
俄克拉荷马州立大学,"俄克拉荷马州立大学,Oklahoma State University,俄克拉何马州立大学,美国俄克拉荷马州立大学"
俄勒冈大学,"俄勒冈大学,University of Oregon,美国俄勒冈大学,UO,U of O,UO, U of O"
克拉克大学,"克拉克大学,Clark University,Clark,美国克拉克大学"
克拉克森大学,"克拉克森大学,Clarkson University,CU,美国克拉克森大学"
内华达大学拉斯维加斯分校,"内华达大学拉斯维加斯分校,University of Nevada,Las Vegas,University of Nevada, Las Vegas"
内布拉斯加大学医学中心,"内布拉斯加大学医学中心,University of Nebraska Medical Center"
内布拉斯加大学林肯分校,"内布拉斯加大学林肯分校,University of Nebraska - Lincoln,美国内布拉斯加大学林肯分校,UNL,University of Nebraska--Lincoln,The University of Nebraska-Lincoln"
北亚利桑那大学,"北亚利桑那大学,Northern Arizona University,美国北亚利桑那大学,北亚,NAU,北亚,NAU"
北伊利诺伊大学,"北伊利诺伊大学,Northern Illinois University,美国北伊利诺伊大学,NIU"
北德克萨斯大学,"北德克萨斯大学,University of North Texas"
南佛罗里达大学,"南佛罗里达大学,University of South Florida,USF,美国南佛罗里达大学"
南卫理公会大学,"南卫理公会大学,Southern Methodist University,美国南卫理公会大学"
南达科他大学,"南达科他大学,University of South Dakota,USD,The University of South Dakota"
南阿拉巴马大学,"南阿拉巴马大学,University of South Alabama (USA),University of South Alabama,The University of South Alabama"
印第安纳州立大学,"印第安纳州立大学,Indiana State University,印第安纳州立 (Instate),美国印第安纳州立大学"
印第安纳普渡大学,"印第安纳普渡大学,Indiana University–Purdue University Indianapolis"
史密斯学院,"史密斯学院,SC,Smith College"
史蒂文斯理工学院,"史蒂文斯理工学院,Stevens Institute of Technology"
圣何塞州立大学,"圣何塞州立大学,San Jose State University,圣荷西州立大学,SJSU"
圣地亚哥州立大学,"圣地亚哥州立大学,San Diego State University,SDSU,州立圣地牙哥大学,圣迭戈州立大学"
堪萨斯州立大学,"堪萨斯州立大学,Kansas State University,美国堪萨斯州立大学,KSU"
塔尔萨大学,"塔尔萨大学,University of Tulsa,Tulsa,The University of Tulsa"
天普大学,"天普大学,Temple University,天普大学福克斯商学院,坦普尔大学"
奥克兰大学,"奥克兰大学,Oakland University,The University of Auckland"
奥本大学,"奥本大学,Auburn University,AU or Auburn"
威廉玛丽学院,"威廉玛丽学院,College of William and Mary,威廉与玛丽学院,The College of William and Mary"
孟菲斯大学,"孟菲斯大学,University of Memphis,美国孟菲斯大学,The University Of Memphis"
密歇根理工大学,"密歇根理工大学,Michigan Technological University,MTU,Michigan Tech,MTU,Michigan Tech"
密苏里大学圣路易斯分校,"密苏里大学圣路易斯分校,University of Missouri-St Louis,UM,Mizzou,UM, Mizzou,University of Missouri,University of Missouri-St. Louis"
密苏里科技大学,"密苏里科技大学,Missouri University of Science and Technology"
密西西比大学,"密西西比大学,University of Mississippi,美国密西西比大学"
密西西比州立大学,"密西西比州立大学,Mississippi State University,MSU"
康涅狄格大学,"康涅狄格大学,University of Connecticut,美国康涅狄格大学,UCONN"
弗吉尼亚联邦大学,"弗吉尼亚联邦大学,Virginia Commonwealth University,VCU"
德克萨斯大学埃尔帕索分校,"德克萨斯大学埃尔帕索分校,University of Texas at El Paso,UTEP,The University of Texas at El Paso"
德克萨斯大学达拉斯分校,"德克萨斯大学达拉斯分校,University of Texas at Dallas,美国德克萨斯大学达拉斯分校,UTD,The University of Texas at Dallas"
德克萨斯大学阿灵顿分校,"德克萨斯大学阿灵顿分校,The University of Texas at Arlington,得克萨斯大学,Texas College"
德克萨斯州立大学,"德克萨斯州立大学,Texas State University"
怀俄明大学,"怀俄明大学,University of Wyoming,UW"
托莱多大学,"托莱多大学,University of Toledo,UT,托力多大学,The University of Toledo,美国托莱多大学"
拉什大学,"拉什大学,Rush University"
摩根州立大学,"摩根州立大学,Morgan State University"
新墨西哥大学,"新墨西哥大学,University of New Mexico,The University of New Mexico"
新墨西哥州立大学,"新墨西哥州立大学,New Mexico State University (Main campus),New Mexico State University (NMSU),New Mexico State University"
新泽西理工学院,"新泽西理工学院,New Jersey Institute of Technology,新泽西理工大学"
新罕布什尔大学,"新罕布什尔大学,University of New Hampshire,UNH,美国新罕布什尔大学"
旧金山大学,"旧金山大学,University of San Francisco,USF,美國舊金山大學"
杨百翰大学,"杨百翰大学,Brigham Young University,BYU"
查普曼大学,"查普曼大学,Chapman University"
欧道明大学,"欧道明大学,Old Dominion University,ODU"
波特兰州立大学,"波特兰州立大学,Portland State University"
爱达荷大学,"爱达荷大学,University of Idaho,UI,The University of Idaho"
特拉华大学,"特拉华大学,University of Delaware,美国特拉华大学,UDel"
犹他州立大学,"犹他州立大学,Utah State University,美国犹他州立大学,USU"
福赛大学,"福赛大学,Full Sail University"
科罗拉多大学科罗拉多斯普林斯分校,"科罗拉多大学科罗拉多斯普林斯分校,University of Colorado Colorado Springs,University of Colorado at Colorado Springs"
科罗拉多矿业学院,"科罗拉多矿业学院,Colorado School of Mines,CSM"
纽约州立大学宾汉姆顿分校,"纽约州立大学宾汉姆顿分校,Binghamton University SUNY,SUNY at Binghamton,State University of New York at Binghamton"
罗切斯特理工学院,"罗切斯特理工学院,Rochester Institute of Technology,Institute for Business and Technology"
罗德岛大学,"罗德岛大学,University of Rhode Island,美国罗德岛大学,URI"
美利坚大学,"美利坚大学,American University,AU,美国大学,The American University"
肯塔基大学,"肯塔基大学,University of Kentucky,UK,美国肯塔基大学"
肯特州立大学,"肯特州立大学,Kent State University,美国肯特州立大学"
芝加哥洛约拉大学,"芝加哥洛约拉大学,Loyola University Chicago,罗耀拉大学,洛约拉"
西密歇根大学,"西密歇根大学,Western Michigan University,WMU,西密大,WMU,西密大"
西弗吉尼亚大学,"西弗吉尼亚大学,West Virginia University,WVU,西维吉尼亚大学"
西肯塔基大学,"西肯塔基大学,Western Kentucky University"
西雅图大学,"西雅图大学,Seattle University,SU,Seattle U,SU, Seattle U"
诺瓦东南大学,"诺瓦东南大学,Nova Southeastern University"
贝勒大学,"贝勒大学,Baylor University,Baylor,BU"
里海大学,"里海大学,Lehigh University"
阿拉巴马大学,"阿拉巴马大学,The University of Alabama,美国阿拉巴马大学,The University of Alabama in Huntsville"
阿拉巴马大学亨茨维尔分校,"阿拉巴马大学亨茨维尔分校,University of Alabama in Huntsville,美国阿拉巴马大学,The University of Alabama in Huntsville"
阿拉斯加大学费尔班克斯分校,"阿拉斯加大学费尔班克斯分校,University of Alaska Fairbanks,University of Alaska"
霍华德大学,"霍华德大学,Howard University"
霍夫斯特拉大学,"霍夫斯特拉大学,Hofstra University,霍大,Hofstra,霍大,Hofstra"
马凯特大学,"马凯特大学,Marquette University,MU"
马萨诸塞大学波士顿分校,"马萨诸塞大学波士顿分校,University of Massachusetts Boston"
马萨诸塞大学阿默斯特分校,"马萨诸塞大学阿默斯特分校,University of Massachusetts,University of Massachusetts Amherst"
马里兰大学巴尔的摩郡分校,"马里兰大学巴尔的摩郡分校,University of Maryland,Baltimore County,马里兰大学学院市分校,马里兰大学帕克分校,美国马里兰大学帕克分校,美國馬里蘭大學,University of Maryland, College Park,University of Maryland, Baltimore County"
威斯康星大学麦迪逊分校,"威斯康星大学麦迪逊分校,University of Wisconsin-Madison,UW-Madison,美国威斯康星大学麦迪逊分校,威斯康辛大学麦迪逊分校,WISC,威斯康星麦迪逊,威斯康星麦迪逊大学,威斯康星麦迪逊分校,University of Wisconsin–Madison"
范德比尔特大学,"范德比尔特大学,Vanderbilt University,美国范德堡大学,Vandy"
耶希瓦大学,"耶希瓦大学,Yeshiva University"
纽约州立大学布法罗分校,"纽约州立大学布法罗分校,University at Buffalo SUNY,University at Buffalo,State University of New York at Buffalo"
维克森林大学,"维克森林大学,Wake Forest University,威克森林大学,美国维克森林大学,WFU"
堪萨斯大学,"堪萨斯大学,University of Kansas,KU,UKansas,KU,UKansas,The University of Kansas"
科罗拉多大学丹佛分校,"科罗拉多大学丹佛分校,University of Colorado,Denver,CU Denver or UCD,University of Colorado Denver,University of Colorado at Denver"
华盛顿州立大学,"华盛顿州立大学,Washington State University,美國華盛頓州立大學,美国华盛顿州立大学,华州大,WSU,华州大,WSU"
杜兰大学,"杜兰大学,Tulane University,Tulane"
伊利诺伊理工学院,"伊利诺伊理工学院,Illinois Institute of Technology,伊利诺伊斯"
科罗拉多州立大学,"科罗拉多州立大学,Colorado State University,美国科罗拉多州立大学"
波士顿学院,"波士顿学院,Boston College,BC"
韦恩州立大学,"韦恩州立大学,Wayne State University,WSU,美国韦恩州立大学"
密苏里大学哥伦比亚分校,"密苏里大学哥伦比亚分校,University of Missouri,Columbia,UM,Mizzou,UM, Mizzou,University of Missouri-Columbia"
俄勒冈州立大学,"俄勒冈州立大学,Oregon State University,OSU"
哈佛大学,"哈佛大学,Harvard University,Harvard,哈佛"
麻省理工学院,"麻省理工学院,Massachusetts Institute of Technology,麻省理工大学,麻省理工 (MIT),美国麻省理工学院,麻省理工,MIT"
加州大学伯克利分校,"加州大学伯克利分校,University of California,Berkeley,UCB,加利福尼亚大学柏克莱分校,伯克利加州大学,加利福尼亚大学伯克利分校,加州伯克利分校,加州伯克利大学,伯克利大学,UC Berkeley,加州伯克利,伯克利,柏克莱,Cal,University of California,Berkeley,University of California, Berkeley,University of California Berkeley (UCB)"
斯坦福大学,"斯坦福大学,Stanford University,斯坦福,史坦福大学,Stanford,史丹佛大学,美國斯坦福大學,Leland Stanford Junior University"
加州理工学院,"加州理工学院,California Institute of Technology,加州理工大学,加州理工,美国加州理工学院,Caltech,California Institute of Technology (Caltech)"
加州大学洛杉矶分校,"加州大学洛杉矶分校,University of California,Los Angeles,加利福尼亚大学洛杉矶分校,UCLA,University of California, Los Angeles,University of California Los Angeles (UCLA)"
芝加哥大学,"芝加哥大学,The University of Chicago,UChicago,芝大,U of C,芝加哥大學,美国芝加哥大学,University of Chicago,芝大,UChicago,U of C"
哥伦比亚大学,"哥伦比亚大学,Columbia University,纽约哥伦比亚大学,哥倫比亞大學,美国哥伦比亚大学,哥大,美國哥倫比亞大學,Columbia University in the City of New York"
约翰霍普金斯大学,"约翰霍普金斯大学,Johns Hopkins University,JHU,约翰斯·霍普金斯大学,Hopkins,The Johns Hopkins University"
普林斯顿大学,"普林斯顿大学,Princeton University,美国普林斯顿大学,普林斯敦大学,普林斯顿"
密歇根大学,"密歇根大学,The University of Michigan,U of M,密西根大学,UM,UMich,密歇根大學安娜堡分校,密大,Michigan,密歇根安娜堡大学,密西根大学安娜堡分校,University of Michigan, Ann Arbor"
华盛顿大学,"华盛顿大学,University of Washington,美国华盛顿大学,華盛頓大學,西雅图华盛顿大学,美国华盛顿大学西雅图分校,华盛顿大学法学院,美國華盛頓大學,The University of Washington"
耶鲁大学,"耶鲁大学,Yale University,耶鲁,Yale,美国耶鲁大学"
